latitude,longitude
37.57955,126.9525702
37.52212416,126.8428921
37.49822973,127.1342475
37.58417548,126.9998401
37.58412082,127.0001534
37.58519769,127.0010846
37.50295696,126.8800885
37.50318771,126.8798834
37.50675565,126.8783249
37.50736617,126.8796659
37.50728356,126.8795556
37.52953456,126.8478463
37.52953456,126.8478463
37.52883246,126.8481907
37.65472645,127.0618548
37.54508032,126.9243288
37.54844589,127.0891798
37.58098266,126.8822775
37.56036017,126.9403271
37.46364939,127.0904565
37.46349263,127.0899801
37.46349263,127.0899801
37.46329848,127.0901851
37.59907226,126.9475655
37.58681458,126.9202195
37.46329848,127.0901851
37.57269834,127.0421464
37.52374744,126.8692074
37.55389021,126.8636185
37.51701691,126.8961285
37.49255558,126.8407113
37.51458583,126.8940856
37.61500953,127.0787016
37.48625726,127.0292106
37.48609419,127.029292
37.48597075,127.0293172
37.48387089,127.0282229
37.4841951,127.0299209
37.47597955,127.0353783
37.48463698,127.0336773
37.48469984,127.0344217
37.49521815,127.0291928
37.47708421,127.0430252
37.47695345,127.0429876
37.47812265,127.0448118
37.47840082,127.0448199
37.48568344,127.0411256
37.48568344,127.0411256
37.48589018,127.0411888
37.48578093,127.0417219
37.48531633,127.0415685
37.4852655,127.0412916
37.4852655,127.0412916
37.48640588,127.0411363
37.49218991,127.0406867
37.49329541,127.0403328
37.49601392,127.0390611
37.49601392,127.0390611
37.47866428,127.047595
37.4790418,127.0489818
37.55963583,126.9729062
37.57482183,126.924591
37.48397633,126.9772261
37.48397633,126.9772261
37.48391512,126.977203
37.48391512,126.977203
37.48369071,126.9772807
37.48378308,126.9775887
37.46967221,127.1268735
37.58511096,127.0012427
37.58521332,127.0015239
37.58521332,127.0015239
37.58521332,127.0015239
37.58584274,127.0008522
37.59139125,127.041584
37.59139125,127.041584
37.60354994,127.0372492
37.45054635,126.9113232
37.49670555,126.9855339
37.60198391,127.1082045
37.56330337,126.8566584
37.67308003,127.0443089
37.67308003,127.0443089
37.67308003,127.0443089
37.48319092,126.9746942
37.48319092,126.9746942
37.51207426,127.1279353
37.4989413,127.145034
37.50025196,126.8979013
37.61627247,127.0932012
37.48295594,126.9462296
37.47887163,126.8936985
37.49907437,126.9846537
37.48279326,126.9013307
37.45486737,126.9008183
37.48279326,126.9013307
37.52484139,126.8908843
37.49082613,127.0555844
37.51331932,126.8752277
37.56960038,127.0304301
37.55971415,126.8499817
37.53702401,126.8372284
37.5702221,126.8074411
37.56787196,126.8114697
37.56803917,126.8118266
37.56803917,126.8118266
37.56759233,126.811668
37.56759233,126.811668
37.56770986,126.8119904
37.56757446,126.8126954
37.56757446,126.8126954
37.56778375,126.8128379
37.4707867,126.9376464
37.48619024,126.9568872
37.4862405,126.9590992
37.57975137,127.0507241
37.57975137,127.0507241
37.57990028,127.0506065
37.57990028,127.0506065
37.59043229,127.0871583
37.48547635,126.961059
37.48144462,126.9526422
37.48144462,126.9526422
37.48109086,126.9528465
37.48109086,126.9528465
37.48137453,126.9529472
37.48137453,126.9529472
37.47893803,126.9523641
